j,L_MOM,L_MLE,MSE_MOM,MSE_MLE,MSE_MOM_T,MSE_MLE_T
1,9.482758738388199,9.828290481298557,0.2675385227137675,0.029484158812681058,0.3333333333333333,0.31391962725684336
2,11.10459760748543,9.999788141011843,1.2201358744625341,4.4884230863006136e-08,0.3333333333333333,0.31391962725684336
3,10.1120303404893,9.944129274626604,0.012550797190148427,0.0031215379537493974,0.3333333333333333,0.31391962725684336
4,9.907532286819103,9.975138514122072,0.008550277980904566,0.000618093480058398,0.3333333333333333,0.31391962725684336
5,9.90134302971307,9.890259498011593,0.009733197786196187,0.012042977776667515,0.3333333333333333,0.31391962725684336
6,10.266175008945863,9.959224709570965,0.07084913538733036,0.0016626243095721935,0.3333333333333333,0.31391962725684336
7,11.247946712551675,9.97273959319024,1.5573709973685335,0.0007431297794335698,0.3333333333333333,0.31391962725684336
8,9.827367814643265,9.984230253981634,0.029801871421041945,0.00024868488948376696,0.3333333333333333,0.31391962725684336
9,8.723635302053342,9.877312967697291,1.6291068421644632,0.015052107895245947,0.3333333333333333,0.31391962725684336
10,9.932688690950215,9.925969492372644,0.0045308123259956675,0.005480516059563977,0.3333333333333333,0.31391962725684336
11,9.387848047577943,9.987458233903721,0.37473001285413593,0.00015729589681376212,0.3333333333333333,0.31391962725684336
12,11.10004577096348,9.861430396428316,1.2101006982146358,0.019201535034013572,0.3333333333333333,0.31391962725684336
13,9.300094275724103,9.956382123844476,0.4898680228741683,0.0019025191203186616,0.3333333333333333,0.31391962725684336
14,9.722647730760087,9.995824058110477,0.07692428125252898,1.743849066467176e-05,0.3333333333333333,0.31391962725684336
15,10.481544247598872,9.831676764572746,0.23188486239556422,0.02833271158469867,0.3333333333333333,0.31391962725684336
16,9.828422416133161,9.993646064336426,0.029438867285582006,4.037249841683765e-05,0.3333333333333333,0.31391962725684336
17,9.502902848176687,9.875062521009838,0.24710557835085004,0.015609373656417241,0.3333333333333333,0.31391962725684336
18,9.849509760396446,9.831570378480588,0.022647312215935196,0.028368537405172256,0.3333333333333333,0.31391962725684336
19,9.713965724835994,9.886217854261155,0.08181560656859839,0.012946376688935874,0.3333333333333333,0.31391962725684336
20,9.14214206984891,9.800487732845452,0.7359202283231117,0.039805144745147625,0.3333333333333333,0.31391962725684336
21,11.628060822600334,9.991825779875358,2.650582042086077,6.68178746461091e-05,0.3333333333333333,0.31391962725684336
22,10.403582183655747,9.91302332172195,0.16287857896434088,0.007564942564283511,0.3333333333333333,0.31391962725684336
23,10.333738273907482,9.893767205882664,0.11138123547074541,0.01128540654597625,0.3333333333333333,0.31391962725684336
24,10.829864819438868,9.998160634165272,0.6886756185423043,3.3832666739654147e-06,0.3333333333333333,0.31391962725684336
25,10.400270929678918,9.989613331530572,0.16021681714602512,0.00010788288189380601,0.3333333333333333,0.31391962725684336
26,8.952695265433077,9.880034851932361,1.0968472070462936,0.014391636750890476,0.3333333333333333,0.31391962725684336
27,10.723303797119682,9.988887568416732,0.5231683829277499,0.0001234861356928028,0.3333333333333333,0.31391962725684336
28,10.605689501783484,9.9101348487164,0.3668597725707251,0.008075745415224387,0.3333333333333333,0.31391962725684336
29,10.65897316191871,9.770111109079995,0.43424562812914125,0.052848902168430044,0.3333333333333333,0.31391962725684336
30,10.169922639254594,9.984124396968816,0.028873703331246833,0.00025203477160372324,0.3333333333333333,0.31391962725684336
31,10.851847309495906,9.976313381417635,0.7256438386954132,0.0005610558998664591,0.3333333333333333,0.31391962725684336
32,9.596776724532372,9.976010108544912,0.16258900987884256,0.0005755148920268939,0.3333333333333333,0.31391962725684336
33,10.849453859655517,9.960590666272031,0.7215718596836548,0.0015530955848824227,0.3333333333333333,0.31391962725684336
34,9.906912562524884,9.9639756371795,0.008665271015683682,0.0012977547166230332,0.3333333333333333,0.31391962725684336
35,9.504528658519671,9.978827735931475,0.24549185022831646,0.0004482647657873648,0.3333333333333333,0.31391962725684336
36,8.639364458371217,9.97751244574306,1.8513290771434516,0.0005056900964588523,0.3333333333333333,0.31391962725684336
37,9.058367718396944,9.997282127150708,0.8866713537569766,7.386832824918809e-06,0.3333333333333333,0.31391962725684336
38,10.060604670410134,9.902188141003021,0.003672926075520993,0.00956715976044481,0.3333333333333333,0.31391962725684336
39,9.031672731844962,9.964168253876549,0.937657698252599,0.0012839140302554435,0.3333333333333333,0.31391962725684336
40,10.42922687281884,9.975101925041756,0.18423570834984004,0.0006199141366263551,0.3333333333333333,0.31391962725684336
41,9.616780135373446,9.885533233016153,0.14685746464439428,0.013102640743734389,0.3333333333333333,0.31391962725684336
42,10.215547283147714,9.853769070956906,0.04646063127236083,0.02138348460880642,0.3333333333333333,0.31391962725684336
43,9.78108209394636,9.943106964881682,0.04792504959091051,0.0032368174449741278,0.3333333333333333,0.31391962725684336
44,9.322613383621684,9.947723406079325,0.45885262804846355,0.0027328422719471853,0.3333333333333333,0.31391962725684336
45,9.188528133193278,9.91740575680584,0.6584865906187857,0.006821809008816079,0.3333333333333333,0.31391962725684336
46,9.756747667261411,9.937777205681492,0.05917169738276507,0.0038716761328033613,0.3333333333333333,0.31391962725684336
47,10.792873074022873,9.794854260750759,0.6286477115104807,0.0420847743321177,0.3333333333333333,0.31391962725684336
48,11.19043230336441,9.922080191378988,1.4171290688934957,0.006071496575535067,0.3333333333333333,0.31391962725684336
49,10.474572573134934,9.993817437846943,0.2252191271719118,3.82240747764171e-05,0.3333333333333333,0.31391962725684336
50,9.326681100322268,9.7975587502054,0.45335834066323105,0.04098245961839945,0.3333333333333333,0.31391962725684336
51,9.129967271742633,9.941624831281247,0.7569569482389582,0.0034076603229428308,0.3333333333333333,0.31391962725684336
52,10.960013290895285,9.880896988194337,0.9216255186955946,0.014185527421179917,0.3333333333333333,0.31391962725684336
53,9.990142300771316,9.992085429830226,9.717423408319849e-05,6.264042097227704e-05,0.3333333333333333,0.31391962725684336
54,9.69322736602797,9.998256279105167,0.09410944895413657,3.040562559077162e-06,0.3333333333333333,0.31391962725684336
55,11.116429449110749,9.91815627473659,1.24641471484173,0.0066983953649924445,0.3333333333333333,0.31391962725684336
56,10.42653705485237,9.902704243059956,0.18193385916213325,0.009466464318536098,0.3333333333333333,0.31391962725684336
57,9.977408987319293,9.799011655256937,0.0005103538539398424,0.0403963147225564,0.3333333333333333,0.31391962725684336
58,9.941763117698944,9.508765123529933,0.003391534460147069,0.2413117038605617,0.3333333333333333,0.31391962725684336
59,9.86027400275344,9.95220154247463,0.019523354306545535,0.0022846925418046676,0.3333333333333333,0.31391962725684336
60,9.50223831842337,9.82948177248774,0.24776669164599477,0.02907646591392259,0.3333333333333333,0.31391962725684336
61,9.150862786349865,9.911882882199167,0.7210340076055145,0.007764626449525818,0.3333333333333333,0.31391962725684336
62,9.894535887784249,9.91451535595137,0.011122678965456502,0.007307624368121065,0.3333333333333333,0.31391962725684336
63,11.232825559192218,9.876693553719512,1.5198588593976048,0.015204479694322773,0.3333333333333333,0.31391962725684336
64,9.265310521108521,9.921639413432487,0.5397686303938327,0.006140381527204662,0.3333333333333333,0.31391962725684336
65,9.850300840093759,9.948164889556026,0.022409838476634362,0.0026868786747390326,0.3333333333333333,0.31391962725684336
66,10.540212634741668,9.900122956487026,0.29182969073453435,0.009975423820892478,0.3333333333333333,0.31391962725684336
67,10.90771862455481,9.840902596786732,0.8239531013636772,0.025311983709205226,0.3333333333333333,0.31391962725684336
68,8.25492204423558,9.969120933995839,3.0452970716949297,0.0009535167172893257,0.3333333333333333,0.31391962725684336
69,10.21911666462189,9.97466670185104,0.04801211271502165,0.0006417759951040784,0.3333333333333333,0.31391962725684336
70,10.305086772919857,9.993419651543508,0.0930779390106525,4.330098580885259e-05,0.3333333333333333,0.31391962725684336
71,9.842222778596028,9.980077985185815,0.024893651593957962,0.00039688667425659716,0.3333333333333333,0.31391962725684336
72,10.371525040450912,9.982979605328628,0.13803085568205184,0.0002896938347692554,0.3333333333333333,0.31391962725684336
73,10.192035093681628,9.924651143049712,0.0368774772053118,0.0056774502437150366,0.3333333333333333,0.31391962725684336
74,10.43409092328822,9.968983218709754,0.18843492968121967,0.0009620407216069535,0.3333333333333333,0.31391962725684336
75,10.860161961261511,9.988895282347887,0.7398785996012491,0.00012331475413315658,0.3333333333333333,0.31391962725684336
76,9.953091080881254,9.889190317345992,0.0022004466928890287,0.012278785769881895,0.3333333333333333,0.31391962725684336
77,10.232070305159311,9.98438586895568,0.0538566265367359,0.00024380108826918616,0.3333333333333333,0.31391962725684336
78,10.029533284350965,9.910577236596424,0.0008722148845549427,0.007996430614731896,0.3333333333333333,0.31391962725684336
79,11.547502360983447,9.975188588013577,2.3947635572493438,0.0006156061647600317,0.3333333333333333,0.31391962725684336
80,9.903935983395336,9.97918917634497,0.009228295286221249,0.00043309038120073576,0.3333333333333333,0.31391962725684336
81,10.010847855563176,9.975138705268336,0.00011767597031952659,0.0006180839757346855,0.3333333333333333,0.31391962725684336
82,9.897177556712533,9.8768364485028,0.010572454843604352,0.015169260417403392,0.3333333333333333,0.31391962725684336
83,9.902882250246588,9.875495510804159,0.009431857317166384,0.015501367829917317,0.3333333333333333,0.31391962725684336
84,9.873463109570496,9.980139905858026,0.016011584639568328,0.00039442333932806047,0.3333333333333333,0.31391962725684336
85,10.0595864849032,9.932638005732503,0.0035505491831192494,0.00453763827169427,0.3333333333333333,0.31391962725684336
86,10.411411653673742,9.914738605431744,0.16925954877856303,0.007269505403723888,0.3333333333333333,0.31391962725684336
87,10.799152749274505,9.975374094430217,0.6386451166729998,0.0006064352251318722,0.3333333333333333,0.31391962725684336
88,9.97913920607398,9.898914438950246,0.0004351727232239065,0.01021829065274347,0.3333333333333333,0.31391962725684336
89,10.1054466970438,9.978784110202726,0.011119005917446786,0.0004501139798900685,0.3333333333333333,0.31391962725684336
90,9.835932619814626,9.925506563571748,0.026918105240892064,0.00554927207089004,0.3333333333333333,0.31391962725684336
91,10.286519063206942,9.974056918766848,0.08209317358098368,0.0006730434638699021,0.3333333333333333,0.31391962725684336
92,8.70269377740914,9.974627941094397,1.6830034351729666,0.0006437413731093892,0.3333333333333333,0.31391962725684336
93,9.809758458343596,9.838829234810406,0.036191844171805154,0.025976015551799157,0.3333333333333333,0.31391962725684336
94,10.401638437707001,9.835157806287633,0.16131343464372092,0.02717294882790559,0.3333333333333333,0.31391962725684336
95,10.306900598466633,9.958729850943742,0.09418797733917769,0.0017032252031257465,0.3333333333333333,0.31391962725684336
96,9.625070526273761,9.76630467345536,0.1405721102686342,0.0546135056488056,0.3333333333333333,0.31391962725684336
97,9.932299321530387,9.828785995839954,0.004583381865245955,0.029314235220516117,0.3333333333333333,0.31391962725684336
98,9.741911014374459,9.889223983074956,0.06660992450122073,0.012271325925777638,0.3333333333333333,0.31391962725684336
99,10.156763480262544,9.961885155487305,0.024574788744025074,0.001452741372226889,0.3333333333333333,0.31391962725684336
100,9.803937411958216,9.954112171663795,0.03844053842964217,0.0021056927894130568,0.3333333333333333,0.31391962725684336
101,9.27514826727946,9.999664975321247,0.5254100344279684,1.1224153537356113e-07,0.3333333333333333,0.31391962725684336
102,10.705769226313523,9.947883987978962,0.4981102008111884,0.0027160787089769997,0.3333333333333333,0.31391962725684336
103,10.016539913932943,9.888972528012763,0.0002735687529091754,0.01232709953587666,0.3333333333333333,0.31391962725684336
104,10.01937460042882,9.825951712751964,0.0003753751417764493,0.030292806293974853,0.3333333333333333,0.31391962725684336
105,10.46889419879151,9.931364621171616,0.21986176966033216,0.004710815226915813,0.3333333333333333,0.31391962725684336
106,10.112800287652384,9.992536221711907,0.012723904894460507,5.570798633380969e-05,0.3333333333333333,0.31391962725684336
107,10.49798838286742,9.894710158961397,0.24799242947090883,0.011085950625934324,0.3333333333333333,0.31391962725684336
108,10.065390296779427,9.681383514621308,0.004275890912901495,0.10151646475507048,0.3333333333333333,0.31391962725684336
109,9.716105883756326,9.729621406974637,0.08059586923777687,0.07310458356637489,0.3333333333333333,0.31391962725684336
110,9.513268378263314,9.978602641631719,0.23690767159842432,0.0004578469451406518,0.3333333333333333,0.31391962725684336
111,10.037560989454104,9.901311820356584,0.00141082792877128,0.00973935680133111,0.3333333333333333,0.31391962725684336
112,9.70504022184343,9.996113832606243,0.0870012707301734,1.5102297012301115e-05,0.3333333333333333,0.31391962725684336
113,10.452474026631721,9.92341889808314,0.20473274477632364,0.005864665170800475,0.3333333333333333,0.31391962725684336
114,9.685239843037287,9.987881845873392,0.09907395641119157,0.0001468496594362156,0.3333333333333333,0.31391962725684336
115,8.91112516101559,9.789273136767989,1.185648414973324,0.044405810887602835,0.3333333333333333,0.31391962725684336
116,8.708641157913407,9.943464275954346,1.6676076590352267,0.003196288093366326,0.3333333333333333,0.31391962725684336
117,10.42979660493517,9.892903900023752,0.18472512161379862,0.011469574630122513,0.3333333333333333,0.31391962725684336
118,9.628806125220814,9.985149031983607,0.1377848926735859,0.00022055125102393662,0.3333333333333333,0.31391962725684336
119,9.165808283084438,9.960186273720382,0.6958758205705334,0.0015851328002683706,0.3333333333333333,0.31391962725684336
120,9.54934390440218,9.953283680286729,0.20309091649947134,0.002182414527552548,0.3333333333333333,0.31391962725684336
121,10.327441669058778,9.976798679932493,0.1072180466359986,0.0005383012528749016,0.3333333333333333,0.31391962725684336
122,10.29846738347255,9.882396862857037,0.08908277899695033,0.013830497865866485,0.3333333333333333,0.31391962725684336
123,10.053556777001189,9.998406836036345,0.0028683283627550984,2.538171415088372e-06,0.3333333333333333,0.31391962725684336
124,9.636876314166365,9.925504791368837,0.1318588112134045,0.005549536109000467,0.3333333333333333,0.31391962725684336
125,9.398926951265441,9.881835182236772,0.3612888099150576,0.013962924157016873,0.3333333333333333,0.31391962725684336
126,9.661472516649892,9.956812350752866,0.11460085698335733,0.001865173047493467,0.3333333333333333,0.31391962725684336
127,10.200699283033122,9.987512108435721,0.04028020221000939,0.00015594743572117917,0.3333333333333333,0.31391962725684336
128,9.93545482212784,9.780191930752359,0.004166079986548826,0.048315587306375724,0.3333333333333333,0.31391962725684336
129,9.068001374445862,9.988787830186496,0.8686214380348031,0.00012571275192685362,0.3333333333333333,0.31391962725684336
130,9.979273444585083,9.984324805506613,0.00042959009936764235,0.00024571172240549796,0.3333333333333333,0.31391962725684336
131,9.642419647957489,9.978196976040195,0.1278637081668462,0.0004753718537918329,0.3333333333333333,0.31391962725684336
132,9.893738024361477,9.989579565093077,0.011291607466602013,0.00010858546364941504,0.3333333333333333,0.31391962725684336
133,8.967728596884218,9.900596017944348,1.0655842496906258,0.009881151648520305,0.3333333333333333,0.31391962725684336
134,10.280198607190087,9.893533267199267,0.0785112594712647,0.011335165193262709,0.3333333333333333,0.31391962725684336
135,9.58168807359226,9.6863166763203,0.1749848677749552,0.09839722755474294,0.3333333333333333,0.31391962725684336
136,10.650583020042236,9.88182708129018,0.4232582659672759,0.01396483871639787,0.3333333333333333,0.31391962725684336
137,10.642517534086236,9.941740800738035,0.41282878160825787,0.003394134298645316,0.3333333333333333,0.31391962725684336
138,9.695304551127014,9.81431367359902,0.09283931656391019,0.03447941181229113,0.3333333333333333,0.31391962725684336
139,9.431323676143101,9.966112969704326,0.3233927613153962,0.0011483308222598953,0.3333333333333333,0.31391962725684336
140,10.250588285794715,9.976432620370844,0.06279448897753356,0.0005554213825847784,0.3333333333333333,0.31391962725684336
141,9.719861822038178,9.808040677933134,0.07847739875176954,0.03684838132837089,0.3333333333333333,0.31391962725684336
142,9.312829508313612,9.617517943550792,0.4722032846445118,0.14629252350561478,0.3333333333333333,0.31391962725684336
143,9.846787162188056,9.905127560394197,0.02347417367038911,0.009000779796756725,0.3333333333333333,0.31391962725684336
144,9.469504286959602,9.924394281708123,0.2814257015542408,0.005716224638430666,0.3333333333333333,0.31391962725684336
