1,0.0,0.013
2,0.00075,0.0145
3,0.001375,0.0155
4,0.00275,0.015
6,0.0055,0.017
9,0.0095,0.02
14,0.018875,0.0325
19,0.020375,0.035
29,0.03,0.04
39,0.03875,0.0485
58,0.0565,0.064
78,0.061125,0.0665
117,0.074,0.084
156,0.0775,0.0815
234,0.0935,0.1005
312,0.10525,0.117
468,0.15025,0.167
625,0.16525,0.1835
937,0.183,0.1925
1250,0.183,0.1925
1875,0.25225,0.2535
2500,0.300625,0.3125
3750,0.300625,0.3125
5000,0.335375,0.324
7500,0.335375,0.324
10000,0.442,0.4635
