20,0.0,0.28235,0.28235
40,0.0,0.17605,0.17605
60,0.0,0.1809,0.1809
80,0.0,0.1855,0.1855
100,0.0,0.163075,0.163075
120,0.0,0.17395,0.17395
140,0.0,0.1249,0.1249
160,0.0,0.10175,0.10175
180,0.0,0.109425,0.109425
200,0.0,0.0954,0.0954
220,0.0,0.10185,0.10185
240,0.0,0.080775,0.080775
260,0.0,0.086375,0.086375
280,0.0,0.095875,0.095875
300,0.0,0.07385,0.07385
320,0.0,0.081275,0.081275
340,0.0,0.076325,0.076325
360,0.0,0.064875,0.064875
380,0.0,0.0744,0.0744
400,0.0,0.07445,0.07445
420,0.0,0.0748,0.0748
440,0.0,0.054,0.054
460,0.0,0.060775,0.060775
480,0.0,0.062675,0.062675
500,0.0,0.065125,0.065125
520,0.0,0.052225,0.052225
540,0.0,0.061575,0.061575
560,0.0,0.05295,0.05295
580,0.0,0.0607,0.0607
600,0.0,0.051475,0.051475
620,0.0,0.061275,0.061275
640,0.0,0.0585,0.0585
660,0.0,0.042925,0.042925
680,0.0,0.054625,0.054625
700,0.0,0.05005,0.05005
720,0.0,0.050875,0.050875
740,0.0,0.05095,0.05095
760,0.0,0.04715,0.04715
780,0.0,0.05475,0.05475
800,0.0,0.043225,0.043225
820,0.0,0.046225,0.046225
840,0.0,0.0475,0.0475
860,0.0,0.040125,0.040125
880,0.0,0.0443,0.0443
900,0.0,0.048575,0.048575
920,0.0,0.0419,0.0419
940,0.0,0.0393,0.0393
960,0.0,0.03985,0.03985
980,0.0,0.046425,0.046425
1000,0.0,0.031225,0.031225
1020,0.0,0.04085,0.04085
1024,0.0,0.04365,0.04365
