,0,1,2,3,4,5,6,7,8,9
-,-0.40999829093144796,0.6735423615925239,0.345615767724801,-0.34627601188239127,0.5008876242612014,-0.17932249249688892,0.8653015607314164,0.31511049789189793,-0.17717277193076103,-0.05244803465669118
1,0.38407962310921295,-0.1524265753458094,-0.4221519616926805,-0.3244048790914558,-0.013737459913586547,0.6817505437460633,0.5363748978617157,0.792475313632647,-0.5942810294020838,0.36932068944675334
1-5,0.3579244913861765,-0.3357296605223013,-0.0260407981077609,-0.3819360359879228,-0.18698924427577054,0.6642154145792967,-0.15633344653986878,0.03159116130580758,-0.0370775839104721,-0.7753548403510763
10,-0.2413394268065026,-0.5966500312251791,0.1523593357043488,-0.18317827872145864,0.3446675227165251,0.1502183369735926,-0.1705055696144952,0.10493472373443558,0.1784419751954019,-0.022496846440876545
10-11,0.004130910136105004,0.18364321691798868,0.4604805295993745,-0.46014950671159416,-0.27941341274150616,-0.04741076092795726,0.03493632830116311,-0.4468484235488575,0.2524531231184938,0.2250407291813877
10-13,0.43574469252005743,-0.9078854027460075,-0.6347667740544154,-0.17209456973868742,0.4055302266786956,-0.28244668941454737,-0.059680765175431555,0.2156685966546949,-0.5869759476171312,0.172302243930178
10-15,-0.827542082532778,0.2801365611287082,0.07883592909907303,-0.2580358515435966,-0.1363517335065837,0.5142280387934914,0.09251366464783656,0.08571204438274788,0.5131892782091664,0.1323055460573434
10-year-old,-0.22564902728503675,-0.7062224930746265,-0.09657303451291871,-0.2350748226657602,-0.6200821158867978,-0.6769665278255412,-0.5056981392438156,-0.13440579655370843,0.1765061230034067,-0.31485694946751824
100,0.5059879339664,0.5780199432739352,-0.30836472363200196,-0.29318056852929475,0.27082144638989,0.16138755476970085,-0.04751204821062574,0.10414578361854854,0.14016397515155538,-0.2830237577091915
10pm,0.04378125717159059,-0.43667588638684957,-0.3478010930420052,-0.5440516304621381,0.2889558280153388,-0.07608082217930952,0.23190590623608676,0.20796378956662492,0.016310424000491874,0.12247052854049958
10th,-0.8894399692832112,0.011945138089603867,0.6859820746466309,-0.6986126110741552,-0.05887638790927477,-0.2680506403702129,-0.16837737204007971,0.7770244745189528,0.37850745082741866,0.4447677025081797
11,-0.1466047446992736,-0.05335575127399933,-0.09582704569945703,-0.6751146923122763,0.29815500152890256,0.8803011100329654,0.1711954853125615,0.7006132518151952,-0.0542894139462588,-0.09374932606405284
11-14,-0.010933678115376225,-0.20727472308215195,-0.15292107904501534,-0.24174617876806473,-0.5110505745358409,0.0547824786384582,-0.14446454581042406,0.351160210843423,0.23660140814016023,0.9230200295070548
110,-0.3003746708838431,0.22967746637705128,-0.06520275267212305,-0.48414471601400066,-0.765590677221865,0.5731123756437222,0.27212183350553254,-0.0175489767567083,-0.14773873794527484,0.03484704252905935
112,-0.5206354350635656,0.3075941637647537,0.046510801130614954,0.18697026664809763,-0.18330717567383037,0.044623433803374746,0.5386837552612507,0.5523020609486047,0.6876347312910331,-0.3918769720299235
12,0.42050957664173216,-0.7210073791005489,-0.5241290933589778,-0.2809787187911937,0.12403758190699489,0.7121112172885808,0.19276867900009934,0.7416723116288964,-0.29446950402687183,-0.1524759524494863
12-year-old,-0.7140813903095158,0.24191995954562545,0.7276136206663794,-0.6387846521167525,-0.3244040199183354,0.26529464076778153,0.09612820238495223,-0.05702049627363287,0.03084057256106726,-0.20351975837950664
12th,0.3032727183517771,0.03797107694249291,-0.16418535411966612,-0.030975475121195247,-0.29371522416226986,0.2986725058502048,-0.1448020862144594,-0.17328068722687975,-0.520973327820312,-0.18940611216379866
13,0.16029705071026257,0.1677105486982219,0.16458655403058248,0.01823820341360699,-0.8794104731608381,-0.4885560318590518,0.5931298528782232,-0.016677401762045865,0.3291027973897851,0.32230539466351416
14,0.10822795483318538,0.00822115925360728,0.290383626965775,0.4103756942743385,-0.5459641397853429,0.41336563356089223,0.14841655917767654,-0.044217119882254685,0.12849204369425357,-0.8098425195003448
15,0.07676466218913995,-0.32890343057749644,0.4507767597961533,0.13433945325350694,-0.29363122751303694,0.4286627833065565,-0.18253757050776936,0.11103917074946279,0.6460463443798269,-0.6195477637272712
16u,-0.22631517017719455,0.7266216143102411,0.06729485364110033,-0.5284781649674481,0.17153372332351735,0.6084154669418294,-0.3922297084683465,0.11203851078684565,0.04872486550376223,-0.2801280801801642
17,-0.608617022957625,-0.21026451827087997,0.22808583684859798,-0.6114906704714717,-0.21503776583419065,-0.5018161283199102,-0.014062628518220932,0.48067584355540416,-0.38646177059738485,-0.05038812944329221
17th,-0.15595229275327183,-0.35388633635997135,-0.26764577646287135,-0.46961428171672837,0.1945248719949971,-0.73698121435889,0.35848120504128445,-0.23298208062805958,0.22139282290088885,0.19804416919512827
18,-0.16927294060764053,0.6094326125339291,0.41214391980422765,-0.027883608671632476,0.0005426697182997486,-0.173795966311994,-0.37690276663567823,0.4512510859826493,0.7080979900202949,-0.34001942323280526
19-25,0.46943011559905035,-0.5576069413350195,0.3794292653514316,-0.12619822926013913,-0.08098307827373985,-0.16628991624004236,0.23008528177425427,-0.0907093428044023,0.2493684115277958,-0.685178486643336
2,0.5573297743766357,-0.04081443842310603,-0.4959325664175741,-0.2543844319795039,-0.21800653000289938,-0.03228099912273258,-0.18069615593959082,0.2330936747355079,0.2737418825735939,0.19087328887572258
20,-0.7008405558947616,-0.21780492000648177,-0.1001040765504117,0.09372859315648935,0.4754232211574452,-0.37259608939427585,-0.5531104354243606,-0.26033263682889646,-0.09548739139177101,-0.12942170212965617
200,0.4624585602945164,0.48132622262046487,0.7542202019237596,0.4530434756386054,-0.562626139174573,0.285277589515992,0.5820034735121866,-0.5098350110118155,0.6182315491843999,-0.10006446737135571
2000,0.3533157618545681,0.623005557838024,0.38048614175430895,0.2782264140147185,0.1768382707877841,0.21730660127761858,0.17098484853289664,0.8795808206392534,-0.09692564615202653,0.47818947854245253
2012,-0.6814170001864276,0.4123709640680051,-0.24179699696704898,-0.5115989800460619,0.22969685030875173,-0.6062342722786137,-0.6049489491620537,-0.26939020452872803,-0.5816432413884676,-0.5967966634327002
2013,-0.2976276387237594,-0.2696778534239247,-0.3076492279435812,-0.5871515687856783,0.4972085439933786,0.020799290015873717,-0.4594737019212926,0.000999463490695851,-0.54758819731296,0.4818260416159908
2014,0.4205824658752971,0.12222065238808866,0.16678585802765142,-0.022468045693344346,-0.11458722658249093,-0.6243482420996741,-0.3674995692078098,0.39256611182680556,0.0753171120719714,0.7752615796541762
230,-0.47724079821806936,0.4553399438252139,-0.013690466193333195,0.4298774294772678,-0.36695421510831827,-0.44785968892033196,0.5388586297000459,0.3343769093273059,-0.29141273009146945,0.7395663123767243
25th,-0.672895548791705,0.09881138422348568,0.6572903576462832,0.06804344717613336,0.5711754415953159,-0.3229255001080027,0.0933290516975824,-0.5523998239866095,-0.31368661629987277,0.2412715788919915
27,0.07893613050655729,-0.2150103044512266,-0.5557715304356903,0.0014061168393705026,-0.23162118161887166,-0.04450975803830798,0.6482029232579823,-0.18411217621052137,0.7389925481240143,-0.40581240720494394
2nd,0.05695291566096487,-0.5565160156823954,-0.28079506690571787,0.5974115702232757,-0.1458049814526265,0.45944815364282376,-0.28958715709814126,0.050539724447640544,0.15215201575620443,0.0786131120057608
3,-0.07941808692966625,0.5628822478739253,-0.026200280228688977,0.10126787212914756,0.028222365567715957,0.4169607030178189,0.4126256340691887,0.5435328309003125,0.21146742931056353,0.34945987964996295
3-4,-0.25415392527719216,0.6951832740037817,0.05517861001907198,0.5786281675939624,-0.25215906403817934,-0.17833964014796436,-0.3760630576999117,-0.2345758397783388,-0.14631177458941352,0.4715934174291173
30,-0.0930729807807353,-0.6778217453303202,0.3923299195087507,0.3575464320780967,-0.09620199098399301,0.5772962238785175,-0.41202556752860264,-0.4077723680314592,-0.3154363009761772,-0.43412723096984496
300,-0.37713650049433023,0.004377701119952948,-0.09778443114267854,0.6811164548837493,-0.4560699656539393,0.3447186772888526,-0.5730528908498405,0.21216527528991394,0.37681212912318096,-0.67988119710781
4,-0.16241741612360483,-0.3663566308004778,0.15329951923192206,-0.21274684893032675,-0.6243646090048459,0.12530196181127135,-0.21628370549909828,0.13251016354755496,-0.32228017608709936,-0.18641786836661256
4-10,-0.203610807358713,-0.6166389613948684,0.3586937467668053,0.36700724546573593,0.30503400093880445,0.46693233327979533,0.1835269397471324,-0.0013538359414805579,0.033177715721472156,0.15862324519961718
4-h,-0.1390373626143442,0.06010856223955084,-0.3380942917844305,-0.7415023180412053,0.19368308916686536,-0.6962213118626006,-0.5300410728534363,-0.20491349820730417,0.5059027375428344,0.7204086343210947
40,-0.047958675842250977,0.5501254383473849,-0.3366479290009125,0.19514255833566463,-0.039619737487870926,0.9024208592766694,-0.3540822602895837,0.32939948080544634,0.07564489688098648,0.7017390393711634
400,-0.10008925056402102,0.4448819671154145,0.3560552632222076,-0.018239725551052577,-0.08615211198461778,0.1919794160136325,-0.5324302854249482,-0.4190015136611465,-0.29270646354993307,0.22533253626906125
4000,-0.542264401472256,0.0658720742289933,0.06199915422846555,0.110403659077976,0.17554737509387147,0.18204457080824715,-0.7258779510080313,0.5569729786037991,0.298539523139733,-0.1574505494861893
45,-0.5464116258717446,0.22633499104363847,0.33816312320396397,-0.46552826005306136,-0.27464365814476277,0.42720896140679326,-0.30278777737360335,0.5808568927019352,0.09249739811568962,-0.3430996377017774
4th,0.5638111743596403,-0.2510532021137303,-0.28616852473586213,0.094751426805008,0.30609867528161305,0.09616890806928688,0.3795715288600834,-0.23321251832149,-0.10858475092132572,0.19748061463782113
5,0.600017822580047,0.37792005070505796,-0.21233357433398561,0.2736544813074567,0.06417542409265313,0.042176109115522636,-0.1031220968127246,0.4421670207012186,-0.4921361204184314,0.03594542109382347
5-15,-0.25575045628237003,-0.7874386890682494,0.055783100516372586,-0.6112918472497623,-0.38151241589856516,-0.5576436233844092,0.16630408714737188,0.6627663664116366,0.30833678116966307,-0.28048745456179713
50,0.1910156604629254,-0.3414867221212662,0.10571984249355176,-0.25564981947278403,-0.1433394840333923,-0.15593274447922145,-0.525440319010974,0.1091065303452941,-0.392600414623382,0.11738303537516809
5th,-0.46482532043767966,-0.4347202185668102,-0.048258353629624606,-0.5127461560994242,-0.32767210859637996,-0.4070252559742075,-0.05178149054949485,-0.35440638872216657,0.3876503849447862,-0.5645139910389688
6,-0.20336660124919034,0.11512255584795175,0.22549910387428151,0.4792141760125579,-0.5932392328199065,-0.3219721034805653,0.03683895553890054,0.2778106965059095,-0.5356242008034973,-0.450338518300705
6-10,-0.5882325723000206,0.7855873163568584,-0.14382445889932924,0.8269108101290801,0.13215319846777995,-0.00676901726745488,0.3072396896487626,0.02671518227099995,0.888282359673785,0.47652592497153073
6-9,0.4158339132880561,-0.3474584640159708,0.5544116333670609,0.3106879874106313,0.11861394464148516,0.23662523768903054,-0.4449076308767881,0.3267590737262745,-0.25472058141865617,-0.7989248592037671
60,0.34094578832393185,-0.3840382479331703,-0.4283974865654044,0.17674706654433694,-0.5308152610344731,-0.008462757357077043,0.38506842036509453,-0.18440298003594296,-0.7097421366875207,-0.8260452436675858
6th,0.4843499305417559,-0.7648486616104024,0.2474933157958662,-0.07348655051042974,0.004928306173681507,0.3926358140117741,-0.025828958965430665,0.011014128491207031,0.41534519236495,0.14507373620786893
7,0.12792067106114813,-0.07647450261215327,-0.22148710866972504,-0.330567299892209,0.06723453688512068,0.13557874798551572,0.3752817728472718,0.10845610794488375,-0.09381837121111561,-0.5732207415750307
7-8,0.8368860242699988,0.39933808441247476,0.3089217472349187,-0.04972707560890399,0.5859128643432637,-0.08177602015522814,-0.6594247398164109,0.3081837792331153,0.137994673735146,-0.6901703865123984
70,0.31224430930708286,-0.10335060563586845,0.005660053913818491,0.716885140922207,-0.12931726784435138,-0.7918177567733269,-0.5483835664970022,0.13355525215088293,-0.5247983238804628,0.04476954643229235
7th,0.6315960595491631,-0.40528126249952623,-0.18125719552607567,0.16353746630731933,0.7164482366205469,0.43222245458089376,0.6423228667068798,0.3830789671500364,0.11527793601948716,0.03268447836793807
8,-0.010368688827097183,-0.32932455416960543,0.09287213184387004,-0.17961905043531826,0.7691948286534246,-0.05859078116710509,-0.47550228844137643,-0.08428621811476592,-0.1233951325885341,-0.21319417976893046
8-12,0.05639239131843307,-0.5312216193825355,-0.19383903951232906,-0.052441366681398344,-0.011351959687344398,0.8044581451180122,-0.4442392124757478,-0.11119557812116154,0.6193171383817077,-0.28196924331765355
80,-0.3306599682518379,-0.5191167671242092,-0.048089385195406176,0.1142664962221343,-0.4595947425047918,-0.1409294383044731,-0.012626224061802293,-0.2025583472962337,-0.12934721964691231,-0.2692457672644264
8th,-0.8089340670373877,0.2897520900922079,0.21466329365332332,-0.6444608025174022,0.6381669780697755,0.38378147106836125,-0.029226085938672465,-0.6044624613758899,-0.5196614016603642,0.1869690263065722
9,0.4548485969446925,0.07233648265938292,0.4380937400785057,-0.12053391415414677,0.06922023553834217,0.30778615238775137,0.26199377843318156,0.21310701532442458,-0.2230910037139707,0.1616820506971958
911,-0.21217745179515268,0.050912467474565334,0.10639963927856025,0.1967410286676102,-0.7285143719405779,-0.42214149730371014,-0.14855974735105248,0.1520301803336001,-0.4870823361103418,-0.7140194854399595
930,-0.6271628323088636,0.022630644493183208,0.3589255540806767,0.18159250392715195,-0.22320965750534558,-0.5053660380399106,-0.3285918906454045,-0.892941812221516,0.138204719761482,-0.39390550451541534
99,-0.36521880481559044,0.39233476504712167,0.3382284138632432,-0.6651642685951171,0.18044289087053406,-0.41930397201993364,-0.5669921785723848,-0.47842603851622506,-0.04420271356324432,-0.3885703129770654
9pm,-0.49751160153042107,0.17963708477207058,0.5014538680421281,-0.13574972683560194,-0.07294671012239429,0.4615487739709536,0.46437938646354743,0.14388684571927152,0.23684182376288687,0.2797509184950518
a,-0.16099629037034724,-0.18206935383299114,-0.12205008832117237,-0.97712100721819,-0.5670327487160924,0.3779734155334555,0.22216780080569504,-0.1549982353629275,0.4705562739651926,0.2137248680932331
ab,-0.20672688673005812,0.039644341089649426,-0.0811821981980903,-0.5905604874496013,-0.47275997601102376,-0.7666052561859824,0.6232116468901805,-0.13706795095890623,0.34908211550833024,-0.16180270806828828
abide,0.7881099479185025,-0.06512708535965252,-0.14868839458175553,0.098927658100389,0.3513813662626232,-0.017820168289125915,0.08580834846411683,0.07073912563945944,0.37593232455038295,-0.3258843945138548
abilities,0.5186730980287801,-0.454095449616686,0.05013968290849977,0.01224103364556911,-0.24975224660527817,-0.23061477020185778,-0.06664396830902708,-0.27856197423726486,0.37222811366257375,0.3204293173923758
ability,0.3599865557660617,0.1727051271222893,-0.10604401913052075,0.04588312121531696,0.14958261570107034,-0.39533502443390856,-0.023752754720770403,-0.6006453561364932,0.11268603894089903,-0.010058856645315195
able,0.4549127348593384,0.07747425598812019,-0.03167207668152017,0.5619784846995199,0.4097061817740438,-0.08933466959743011,0.3628998670717087,0.02845319345837218,-0.3237681766708308,-0.44033926915688953
abler,0.09697746977614247,-0.008499978415144271,-0.18172507132661953,-0.46248688622090295,0.13729706221131904,0.4184289742991171,-0.31864605910135935,0.08709405854408553,0.3984121264124729,0.3140284653589579
about,0.05320666876695547,0.028453569646220686,-0.11201119452574371,0.27981580198184347,0.619244035100607,0.5324547339439072,0.07996277891492537,0.015071914276117454,0.27569800063178984,0.5613888916521732
above,-0.5320683553014331,-0.06984697656909802,-0.08892454337118,0.1860436621092551,0.6437514287397395,-0.04245770178303793,-0.28177622318562195,0.5032236554822251,-0.40490258432366477,0.04550748829593865
abroad,-0.2831077439632935,0.12222176148126004,-0.24183346018079216,-0.6197583131601594,0.46863833478789013,-0.11479023469421776,0.118445303779375,0.6739671359899961,0.3687427685601239,0.35373734344222263
absent,0.864336986663379,-0.1535013987674512,0.28121841262478975,-0.08529181391587601,-0.06151607744117252,0.013031772318930601,0.22531533981267415,0.2333531267569501,0.7348474468356353,-0.3664729868323623
absolute,-0.31190222357937747,0.6711971005301915,-0.5764246694980915,-0.4699251220967654,-0.01928418328427095,0.005185825013084788,-0.2913072961550407,0.05937326997506018,-0.7358952196338667,-0.013086746924849013
abstract,-0.10781797056099174,-0.6100716466024546,0.27699456582640736,-0.8289314262587462,0.6335614846387723,0.30274833269200235,0.4230862064996449,0.06305334575038532,-0.5225502885500631,-0.11392425625594203
abuse,-0.32965710125774295,-0.15605309589297883,-0.12743973128420547,0.6156242343233151,0.10906679011118545,0.5570966794404717,0.45686507000896004,0.35399842793069713,-0.41468533167814153,0.470427242460581
abused,-0.3802994344627726,0.08637354756310893,0.23486569585325456,-0.3411597545235911,0.05921036735633667,0.006739544679129094,-0.5725028023931911,-0.5566122030193921,0.5183734857177207,-0.025612895804249622
abusing,-0.31897370264570296,-0.4786372554399401,0.3752432144735858,-0.33899835139167667,-0.3228098197470992,-0.3375292187974233,-0.05462979204699603,0.3898816267755706,0.703074146525279,0.43098036649500454
abusive,0.29808605676596417,0.10928775021198572,-0.23042745394514097,-0.682081283221402,0.3208400779898723,-0.5093986730748146,-0.42735470235974715,0.2826596753227484,0.4399705778022228,-0.33163773389011153
